2026-05-28 10:11:17 | ERROR    | app.services.embeddings:_embed_with_openai:144 | OpenAI embedding error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-05-28 10:11:17 | ERROR    | app.services.document:process_document_pipeline:407 | Pipeline failed for document 5452caee-0370-4a25-99be-cd8ed3e4c873: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-05-28 10:15:11 | ERROR    | app.services.embeddings:_embed_with_openai:144 | OpenAI embedding error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-05-28 10:15:11 | ERROR    | app.services.document:process_document_pipeline:407 | Pipeline failed for document 818d5916-dafe-412c-a5ad-06d6b364b7c2: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-05-28 11:40:52 | ERROR    | app.services.document:process_document_pipeline:419 | Pipeline failed for document 77490782-c5e1-4115-866d-a57b55722a15: Unequal lengths for fields: ids: 22, metadatas: 22, embeddings: 19, documents: 22 in upsert.
2026-05-28 11:41:19 | ERROR    | app.services.chat:ask_question:369 | AI generation failed: 404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash-8b:generateContent?key=AIzaSyDfrquX2dxbrWeNjQf2vnjEtUKD4xW3Ajk
2026-05-28 11:47:48 | ERROR    | app.services.embeddings:_embed_with_gemini:129 | Gemini embedding error after 3 attempts: 403 Client Error: Forbidden for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:embedContent?key=AIzaSyDfrquX2dxbrWeNjQf2vnjEtUKD4xW3Ajk
2026-05-28 11:47:48 | ERROR    | app.services.document:process_document_pipeline:419 | Pipeline failed for document 371ffe5a-c438-4380-9205-b4b26b247a57: 403 Client Error: Forbidden for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:embedContent?key=AIzaSyDfrquX2dxbrWeNjQf2vnjEtUKD4xW3Ajk
2026-05-28 11:53:04 | ERROR    | app.services.embeddings:_embed_with_gemini:129 | Gemini embedding error after 3 attempts: 404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/text-embedding-004:embedContent?key=AIzaSyDfrquX2dxbrWeNjQf2vnjEtUKD4xW3Ajk
2026-05-28 11:53:04 | ERROR    | app.services.document:process_document_pipeline:419 | Pipeline failed for document 40733dcb-af8a-4350-911b-82e89dc384d1: 404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/text-embedding-004:embedContent?key=AIzaSyDfrquX2dxbrWeNjQf2vnjEtUKD4xW3Ajk
2026-05-28 11:57:13 | ERROR    | app.services.embeddings:_embed_with_gemini:129 | Gemini embedding error after 3 attempts: 403 Client Error: Forbidden for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:embedContent?key=AIzaSyDfrquX2dxbrWeNjQf2vnjEtUKD4xW3Ajk
2026-05-28 11:57:13 | ERROR    | app.services.document:process_document_pipeline:419 | Pipeline failed for document 200a3456-53cb-4009-97d0-a99d1f5d7896: 403 Client Error: Forbidden for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:embedContent?key=AIzaSyDfrquX2dxbrWeNjQf2vnjEtUKD4xW3Ajk
2026-05-28 12:01:32 | ERROR    | app.services.chat:ask_question:369 | AI generation failed: 404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash-8b:generateContent?key=AIzaSyBvNb8uoGql67lNFcZiPqa-pMwXBrKxMx4
