2026-05-28 09:43:09 | INFO     | app.core.logging:setup_logging:54 | Logging initialized for UniConnect v1.0.0
2026-05-28 09:43:09 | INFO     | app.main:_create_tables:28 | Database tables created / verified successfully
2026-05-28 09:43:09 | INFO     | app.main:_seed_admin:60 | Admin account already exists: admin@uniconnect.com
2026-05-28 09:43:09 | INFO     | app.main:lifespan:75 | Database connection check passed
2026-05-28 09:46:37 | INFO     | app.core.logging:setup_logging:54 | Logging initialized for UniConnect v1.0.0
2026-05-28 09:46:37 | INFO     | app.main:_create_tables:28 | Database tables created / verified successfully
2026-05-28 09:46:37 | INFO     | app.main:_seed_admin:60 | Admin account already exists: admin@uniconnect.com
2026-05-28 09:46:37 | INFO     | app.main:lifespan:75 | Database connection check passed
2026-05-28 09:47:18 | INFO     | app.core.logging:setup_logging:54 | Logging initialized for UniConnect v1.0.0
2026-05-28 09:47:18 | INFO     | app.main:_create_tables:28 | Database tables created / verified successfully
2026-05-28 09:47:18 | INFO     | app.main:_seed_admin:60 | Admin account already exists: admin@uniconnect.com
2026-05-28 09:47:18 | INFO     | app.main:lifespan:75 | Database connection check passed
2026-05-28 09:47:30 | INFO     | app.core.logging:setup_logging:54 | Logging initialized for UniConnect v1.0.0
2026-05-28 09:47:30 | INFO     | app.main:_create_tables:28 | Database tables created / verified successfully
2026-05-28 09:47:30 | INFO     | app.main:_seed_admin:60 | Admin account already exists: admin@uniconnect.com
2026-05-28 09:47:30 | INFO     | app.main:lifespan:75 | Database connection check passed
2026-05-28 09:47:40 | INFO     | app.core.logging:setup_logging:54 | Logging initialized for UniConnect v1.0.0
2026-05-28 09:47:40 | INFO     | app.main:_create_tables:28 | Database tables created / verified successfully
2026-05-28 09:47:40 | INFO     | app.main:_seed_admin:60 | Admin account already exists: admin@uniconnect.com
2026-05-28 09:47:40 | INFO     | app.main:lifespan:75 | Database connection check passed
2026-05-28 09:47:51 | INFO     | app.core.logging:setup_logging:54 | Logging initialized for UniConnect v1.0.0
2026-05-28 09:47:51 | INFO     | app.main:_create_tables:28 | Database tables created / verified successfully
2026-05-28 09:47:51 | INFO     | app.main:_seed_admin:60 | Admin account already exists: admin@uniconnect.com
2026-05-28 09:47:51 | INFO     | app.main:lifespan:75 | Database connection check passed
2026-05-28 09:49:51 | INFO     | app.core.logging:setup_logging:54 | Logging initialized for UniConnect v1.0.0
2026-05-28 09:49:51 | INFO     | app.main:_create_tables:28 | Database tables created / verified successfully
2026-05-28 09:49:51 | INFO     | app.main:_seed_admin:60 | Admin account already exists: admin@uniconnect.com
2026-05-28 09:49:51 | INFO     | app.main:lifespan:75 | Database connection check passed
2026-05-28 09:54:49 | INFO     | app.core.logging:setup_logging:54 | Logging initialized for UniConnect v1.0.0
2026-05-28 09:54:49 | INFO     | app.main:_create_tables:28 | Database tables created / verified successfully
2026-05-28 09:54:49 | INFO     | app.main:_seed_admin:60 | Admin account already exists: admin@uniconnect.com
2026-05-28 09:54:49 | INFO     | app.main:lifespan:75 | Database connection check passed
2026-05-28 10:00:26 | INFO     | app.repositories.user:update_user:132 | User updated: admin@uniconnect.com
2026-05-28 10:00:26 | INFO     | app.services.user:login_user:111 | User logged in successfully: admin@uniconnect.com
2026-05-28 10:00:57 | INFO     | app.services.document:_save_file:156 | File saved: /app/uploads/c20ce78f-cd30-4e44-a9ed-b32ef354561a/c20ce78f-cd30-4e44-a9ed-b32ef354561a_mergednote of environmental.pdf
2026-05-28 10:01:00 | INFO     | app.services.document:_extract_pdf_text:204 | PDF: text-based (542730 chars, 3667 avg/page) — PyPDF2 used
2026-05-28 10:01:00 | INFO     | app.repositories.document:create_document:48 | Document created: mergednote of environmental.pdf (ID: 4be38435-f142-4002-8d35-44ff9a5b3fe7)
2026-05-28 10:01:00 | INFO     | app.services.document:upload_document:76 | Document uploaded: mergednote of environmental.pdf (ID: 4be38435-f142-4002-8d35-44ff9a5b3fe7, text_len=542730)
2026-05-28 10:01:00 | INFO     | app.api.v1.documents:upload_document:59 | Document uploaded by admin 'admin@uniconnect.com': mergednote of environmental.pdf
2026-05-28 10:01:00 | INFO     | app.repositories.document:update_document_status:109 | Document updated: 4be38435-f142-4002-8d35-44ff9a5b3fe7, status: processing
2026-05-28 10:01:00 | DEBUG    | app.services.chunking:split_text:29 | LangChain unavailable — using simple word splitter
2026-05-28 10:01:00 | INFO     | app.repositories.document_chunk:create_chunks:37 | Created 141 chunks for document 4be38435-f142-4002-8d35-44ff9a5b3fe7
2026-05-28 10:01:00 | INFO     | app.services.embeddings:__init__:33 | Embedding provider: Google Gemini (text-embedding-004 via REST v1)
2026-05-28 10:01:01 | INFO     | app.services.chromadb_client:_build_client:116 | ChromaDB: connected via HTTP (chromadb:8000)
2026-05-28 10:02:30 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 15s (attempt 1/3)
2026-05-28 10:02:46 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 30s (attempt 2/3)
2026-05-28 10:03:16 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 15s (attempt 1/3)
2026-05-28 10:03:30 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 30s (attempt 2/3)
2026-05-28 10:04:01 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 45s (attempt 3/3)
2026-05-28 10:04:52 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 15s (attempt 1/3)
2026-05-28 10:05:15 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 15s (attempt 1/3)
2026-05-28 10:05:31 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 30s (attempt 2/3)
2026-05-28 10:05:59 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 45s (attempt 3/3)
2026-05-28 10:06:44 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 15s (attempt 1/3)
2026-05-28 10:06:58 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 30s (attempt 2/3)
2026-05-28 10:07:29 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 15s (attempt 1/3)
2026-05-28 10:07:46 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 30s (attempt 2/3)
2026-05-28 10:08:16 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 15s (attempt 1/3)
2026-05-28 10:08:29 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 30s (attempt 2/3)
2026-05-28 10:08:50 | INFO     | app.core.logging:setup_logging:54 | Logging initialized for UniConnect v1.0.0
2026-05-28 10:08:50 | INFO     | app.main:_create_tables:28 | Database tables created / verified successfully
2026-05-28 10:08:50 | INFO     | app.main:_seed_admin:60 | Admin account already exists: admin@uniconnect.com
2026-05-28 10:08:50 | INFO     | app.main:lifespan:75 | Database connection check passed
2026-05-28 10:10:19 | INFO     | app.repositories.user:update_user:132 | User updated: admin@uniconnect.com
2026-05-28 10:10:19 | INFO     | app.services.user:login_user:111 | User logged in successfully: admin@uniconnect.com
2026-05-28 10:11:09 | INFO     | app.services.document:_save_file:156 | File saved: /app/uploads/c20ce78f-cd30-4e44-a9ed-b32ef354561a/c20ce78f-cd30-4e44-a9ed-b32ef354561a_mergednote of environmental.pdf
2026-05-28 10:11:10 | INFO     | app.services.document:_extract_pdf_text:204 | PDF: text-based (542730 chars, 3667 avg/page) — PyPDF2 used
2026-05-28 10:11:10 | INFO     | app.repositories.document:create_document:48 | Document created: mergednote of environmental.pdf (ID: 5452caee-0370-4a25-99be-cd8ed3e4c873)
2026-05-28 10:11:10 | INFO     | app.services.document:upload_document:76 | Document uploaded: mergednote of environmental.pdf (ID: 5452caee-0370-4a25-99be-cd8ed3e4c873, text_len=542730)
2026-05-28 10:11:10 | INFO     | app.api.v1.documents:upload_document:59 | Document uploaded by admin 'admin@uniconnect.com': mergednote of environmental.pdf
2026-05-28 10:11:10 | INFO     | app.repositories.document:update_document_status:109 | Document updated: 5452caee-0370-4a25-99be-cd8ed3e4c873, status: processing
2026-05-28 10:11:10 | DEBUG    | app.services.chunking:split_text:29 | LangChain unavailable — using simple word splitter
2026-05-28 10:11:11 | INFO     | app.repositories.document_chunk:create_chunks:37 | Created 141 chunks for document 5452caee-0370-4a25-99be-cd8ed3e4c873
2026-05-28 10:11:11 | INFO     | app.services.embeddings:__init__:33 | Embedding provider: OpenAI (text-embedding-3-small)
2026-05-28 10:11:11 | INFO     | app.services.chromadb_client:_build_client:116 | ChromaDB: connected via HTTP (chromadb:8000)
2026-05-28 10:11:17 | ERROR    | app.services.embeddings:_embed_with_openai:144 | OpenAI embedding error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-05-28 10:11:17 | ERROR    | app.services.document:process_document_pipeline:407 | Pipeline failed for document 5452caee-0370-4a25-99be-cd8ed3e4c873: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-05-28 10:11:17 | INFO     | app.repositories.document:update_document_status:109 | Document updated: 5452caee-0370-4a25-99be-cd8ed3e4c873, status: failed
2026-05-28 10:15:01 | INFO     | app.services.document:_save_file:156 | File saved: /app/uploads/c20ce78f-cd30-4e44-a9ed-b32ef354561a/c20ce78f-cd30-4e44-a9ed-b32ef354561a_mergednote of environmental.pdf
2026-05-28 10:15:02 | INFO     | app.services.document:_extract_pdf_text:204 | PDF: text-based (542730 chars, 3667 avg/page) — PyPDF2 used
2026-05-28 10:15:02 | INFO     | app.repositories.document:create_document:48 | Document created: mergednote of environmental.pdf (ID: 818d5916-dafe-412c-a5ad-06d6b364b7c2)
2026-05-28 10:15:02 | INFO     | app.services.document:upload_document:76 | Document uploaded: mergednote of environmental.pdf (ID: 818d5916-dafe-412c-a5ad-06d6b364b7c2, text_len=542730)
2026-05-28 10:15:02 | INFO     | app.api.v1.documents:upload_document:59 | Document uploaded by admin 'admin@uniconnect.com': mergednote of environmental.pdf
2026-05-28 10:15:03 | INFO     | app.repositories.document:update_document_status:109 | Document updated: 818d5916-dafe-412c-a5ad-06d6b364b7c2, status: processing
2026-05-28 10:15:03 | DEBUG    | app.services.chunking:split_text:29 | LangChain unavailable — using simple word splitter
2026-05-28 10:15:03 | INFO     | app.repositories.document_chunk:create_chunks:37 | Created 141 chunks for document 818d5916-dafe-412c-a5ad-06d6b364b7c2
2026-05-28 10:15:03 | INFO     | app.services.embeddings:__init__:33 | Embedding provider: OpenAI (text-embedding-3-small)
2026-05-28 10:15:03 | INFO     | app.services.chromadb_client:_build_client:116 | ChromaDB: connected via HTTP (chromadb:8000)
2026-05-28 10:15:11 | ERROR    | app.services.embeddings:_embed_with_openai:144 | OpenAI embedding error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
